Province,MoPH,DDC,% Difference
Amnat Charoen,7461,7489,-0.38
Ang Thong,2408,2373,1.45
Bangkok,34209,34413,-0.60
Bungkan,2145,2145,0.00
Buri Ram,19530,19671,-0.72
Chachoengsao,6732,6757,-0.37
Chai Nat,1051,1015,3.43
Chaiyaphum,9709,9539,1.75
Chanthaburi,8410,8421,-0.13
Chiang Mai,14218,13973,1.72
Chiang Rai,19567,19663,-0.49
Chon Buri,4198,4221,-0.55
Chumphon,2781,2643,4.96
Kalasin,6649,6461,2.83
Kamphaeng Phet,6430,6457,-0.42
Kanchanaburi,7038,6677,5.13
Khon Kaen,19791,19894,-0.52
Krabi,2699,2570,4.78
Lampang,6025,5888,2.27
Lamphun,1603,1551,3.24
Loei,7202,7120,1.14
Lop Buri,5762,5589,3.00
Mae Hong Son,3211,3208,0.09
Maha Sarakham,15046,15123,-0.51
Mukdahan,6532,6567,-0.54
Nakhon Nayok,2715,2559,5.75
Nakhon Pathom,6674,6403,4.06
Nakhon Phanom,5560,5395,2.97
Nakhon Ratchasima,18771,18572,1.06
Nakhon Sawan,9478,9271,2.18
Nakhon Si Thammarat,8615,7806,9.39
Nan,2820,2752,2.41
Narathiwat,2474,2487,-0.53
Nong Bua Lam Phu,1935,1842,4.81
Nong Khai,4991,5009,-0.36
Nonthaburi,5479,5523,-0.80
P.Nakhon S.Ayutthaya,8579,2923,65.93
Pathum Thani,2944,3555,-20.75
Pattani,3696,1893,48.78
Phangnga,1947,4267,-119.16
Phatthalung,4283,5775,-34.84
Phayao,6002,7684,-28.02
Phetchabun,7661,3040,60.32
Phetchaburi,3273,3381,-3.30
Phichit,3450,8072,-133.97
Phitsanulok,8198,8612,-5.05
Phrae,4143,4116,0.65
Phuket,5036,4864,3.42
Prachin Buri,8779,8751,0.32
Prachuap Khiri Khan,4704,4609,2.02
Ranong,1276,1301,-1.96
Ratchaburi,7452,7147,4.09
Rayong,7645,7548,1.27
Roi Et,17926,17077,4.74
Sa Kaeo,2773,2618,5.59
Sakon Nakhon,4154,4144,0.24
Samut Prakan,9493,9531,-0.40
Samut Sakhon,1185,1090,8.02
Samut Songkhram,247,238,3.64
Saraburi,4535,4043,10.85
Satun,3384,3242,4.20
Si Sa Ket,17743,17822,-0.45
Sing Buri,1857,1767,4.85
Songkhla,12004,11612,3.27
Sukhothai,4283,3841,10.32
Suphan Buri,3295,3193,3.10
Surat Thani,5676,5638,0.67
Surin,10657,10167,4.60
Tak,6660,6454,3.09
Trang,3857,3900,-1.11
Trat,2475,2357,4.77
Ubon Ratchathani,25564,24754,3.17
Udon Thani,4242,4018,5.28
Uthai Thani,2912,2812,3.43
Uttaradit,3262,3129,4.08
Yala,4192,4231,-0.93
Yasothon,7245,7353,-1.49
,,,
All Provinces,538608,529616,1.67
,,,
