Province,2012,2013,2014,2015,2016,2017,2018,2019
Bangkok,39205,40723,51578,47044,45798,34409,40199,34906
Nonthaburi,16719,11363,35136,37621,37445,30430,33939,31642
P.Nakhon S.Ayutthaya,19413,19626,17760,16736,19253,13168,15604,12694
Pathum Thani,11757,13322,5988,5106,6048,5154,4937,4092
Saraburi,12150,12095,8466,12004,8568,9291,8123,6323
Ang Thong,8194,7387,7534,7140,8129,5860,6102,6879
Chai Nat,5103,4222,14761,11151,12758,10369,12553,11696
Lop Buri,19808,11208,8562,7492,8559,5555,7289,7338
Sing Buri,3997,3685,14547,11986,13929,12087,14963,15482
Chachoengsao,24324,25161,15374,14886,17116,13871,16987,14820
Nakhon Nayok,6260,5475,7795,9022,9471,6635,7874,7247
Prachin Buri,16791,19820,15292,14992,16950,15668,13389,11987
Sa Kaeo,9080,9942,5963,5399,6436,5401,5520,5738
Samut Prakan,16329,16640,4502,4126,4981,4054,4264,3346
Kanchanaburi,10848,8509,14847,14877,16595,11574,13696,13036
Nakhon Pathom,17080,14305,25972,26234,23938,18356,20364,16884
Ratchaburi,16238,13047,9392,11555,14352,11821,11644,10103
Suphan Buri,14049,10779,7803,7458,8385,6343,6906,5599
Phetchaburi,10984,8197,38331,38635,58132,61078,95897,68615
Prachuap Khiri Khan,8217,8220,7133,6997,6774,5797,7460,5931
Samut Sakhon,14126,15800,10394,16862,19372,15087,22056,16008
Samut Songkhram,5962,5854,5059,4452,4983,3857,6125,5188
Chanthaburi,9458,9505,10202,12391,11186,12439,14851,10809
Chon Buri,22059,15551,21239,19256,20778,16408,24324,17197
Rayong,20726,21431,12590,15126,15185,11038,14662,8481
Trat,5065,2783,9917,11032,15339,14292,16732,15253
Chumphon,8699,7345,4933,4831,3802,4007,3911,2465
Nakhon Si Thammarat,14397,15389,10586,10824,13365,11115,16203,14763
Phatthalung,11233,10872,14135,16193,18532,20120,22842,20188
Surat Thani,18419,17508,10007,11477,11719,9646,11767,8489
Krabi,9155,7203,8894,9422,11069,10116,10938,9479
Phangnga,6180,5145,11185,11630,14682,12241,16779,12471
Phuket,13627,12639,12750,11891,10329,8835,10331,6080
Ranong,4027,3425,5605,5568,6578,5351,6971,5154
Trang,12596,8805,11604,11909,13136,11701,10410,7698
Narathiwat,11969,12377,24110,24018,18582,16290,19243,16291
Pattani,9303,9251,12253,12087,13427,15752,18253,15222
Satun,5299,4579,9822,12967,11827,15275,21798,16924
Songkhla,21171,19105,17072,19570,19489,16250,22470,17543
Yala,6333,4181,18991,19334,19986,17864,21406,19389
Bungkan,8643,8518,7383,5991,7437,6884,6920,6528
Loei,13261,12994,16462,16649,17921,17468,21927,19570
Nong Bua Lam Phu,6160,5920,4697,3767,4907,4897,5604,4469
Nong Khai,10559,7268,14291,11631,11235,9161,12526,10213
Udon Thani,25790,27879,29245,27509,33868,27613,33923,35317
Mukdahan,6475,6619,27118,28605,32039,25673,27811,27495
Nakhon Phanom,12300,12685,22729,25891,30124,25933,30697,28533
Sakon Nakhon,17747,16213,8526,5425,4776,4822,4217,2609
Kalasin,13098,13558,14657,13219,13999,11638,13519,12829
Khon Kaen,29984,32411,11239,11047,11638,8750,10988,9954
Maha Sarakham,24755,27586,7683,7345,6083,4960,5513,5197
Roi Et,25834,21185,11087,8968,7651,6063,7130,7692
Amnat Charoen,10605,11186,14656,13759,12997,8767,10886,9694
Si Sa Ket,35947,23556,27422,16805,10519,8054,10651,10105
Ubon Ratchathani,42483,33800,35909,36071,43520,33153,37859,37960
Yasothon,15330,13672,22271,21737,24949,19488,22257,22430
Buri Ram,46090,44576,36301,35708,39301,31586,39521,36061
Chaiyaphum,24379,23770,23536,18266,20304,17101,17492,18741
Nakhon Ratchasima,40603,39392,10085,10376,12950,8469,9470,7836
Surin,28939,27221,5585,7401,9014,7975,9258,9296
Chiang Mai,49140,41589,18833,25244,30978,26973,29392,30565
Lampang,16545,16309,34183,40249,53142,43546,45298,46069
Lamphun,7661,4942,12681,12646,14431,12126,11653,10588
Mae Hong Son,10829,8844,10394,8925,9283,7018,6381,6546
Chiang Rai,38411,33370,6854,7816,7468,6497,6553,6862
Nan,8230,7936,19430,18507,22275,20893,21540,21792
Phayao,12080,13401,5185,5524,5533,4769,3896,4291
Phrae,7256,7827,10095,12395,14117,11735,11147,10425
Phetchabun,15818,14375,4028,3785,3256,2892,2421,2488
Phitsanulok,13865,14799,16220,17670,16074,15200,16216,15454
Sukhothai,7118,7514,10284,10262,10414,9903,10739,8367
Tak,20666,16746,7458,7642,7111,7634,8170,7104
Uttaradit,7564,7235,11430,9389,10234,9357,8783,8212
Kamphaeng Phet,12106,14403,5454,4980,5116,3659,3050,3236
Nakhon Sawan,29521,25516,17018,15655,19201,17669,23619,20149
Phichit,9524,9743,8002,10276,10611,9825,8166,7825
Uthai Thani,7975,8028,3412,3123,4457,5593,7242,6971
