Province,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangkok,39205,40723,51578,47044,45798,34409,40199,34906,50553,34413,35770,63327
Nonthaburi,16719,11363,35136,37621,37445,30430,33939,31642,8787,5523,7756,8896
P.Nakhon S.Ayutthaya,19413,19626,17760,16736,19253,13168,15604,12694,12652,8612,11519,9065
Pathum Thani,11757,13322,5988,5106,6048,5154,4937,4092,4755,2923,5512,5510
Saraburi,12150,12095,8466,12004,8568,9291,8123,6323,9075,4043,9519,10712
Ang Thong,8194,7387,7534,7140,8129,5860,6102,6879,3771,2373,2519,922
Chai Nat,5103,4222,14761,11151,12758,10369,12553,11696,1991,1015,1559,1553
Lop Buri,19808,11208,8562,7492,8559,5555,7289,7338,10985,5589,6575,5718
Sing Buri,3997,3685,14547,11986,13929,12087,14963,15482,1937,1767,1865,1477
Chachoengsao,24324,25161,15374,14886,17116,13871,16987,14820,10677,6757,7477,10308
Nakhon Nayok,6260,5475,7795,9022,9471,6635,7874,7247,3577,2559,3242,2290
Prachin Buri,16791,19820,15292,14992,16950,15668,13389,11987,13191,8751,8321,9922
Sa Kaeo,9080,9942,5963,5399,6436,5401,5520,5738,5314,2618,3625,4808
Samut Prakan,16329,16640,4502,4126,4981,4054,4264,3346,13576,9531,12200,11524
Kanchanaburi,10848,8509,14847,14877,16595,11574,13696,13036,11435,6677,8341,9900
Nakhon Pathom,17080,14305,25972,26234,23938,18356,20364,16884,15292,6403,7334,7191
Ratchaburi,16238,13047,9392,11555,14352,11821,11644,10103,10605,7147,10487,8336
Suphan Buri,14049,10779,7803,7458,8385,6343,6906,5599,8030,3193,5288,7752
Phetchaburi,10984,8197,38331,38635,58132,61078,95897,68615,8191,3040,5684,3825
Prachuap Khiri Khan,8217,8220,7133,6997,6774,5797,7460,5931,6942,4609,5249,4795
Samut Sakhon,14126,15800,10394,16862,19372,15087,22056,16008,4658,1090,1393,612
Samut Songkhram,5962,5854,5059,4452,4983,3857,6125,5188,3479,238,1090,2117
Chanthaburi,9458,9505,10202,12391,11186,12439,14851,10809,14536,8421,8310,10147
Chon Buri,22059,15551,21239,19256,20778,16408,24324,17197,10948,4221,10687,14859
Rayong,20726,21431,12590,15126,15185,11038,14662,8481,14458,7548,12559,14153
Trat,5065,2783,9917,11032,15339,14292,16732,15253,3748,2357,2843,2550
Chumphon,8699,7345,4933,4831,3802,4007,3911,2465,4132,2643,3296,3710
Nakhon Si Thammarat,14397,15389,10586,10824,13365,11115,16203,14763,14802,7806,12598,13963
Phatthalung,11233,10872,14135,16193,18532,20120,22842,20188,6674,4267,5756,2613
Surat Thani,18419,17508,10007,11477,11719,9646,11767,8489,10638,5638,9836,6740
Krabi,9155,7203,8894,9422,11069,10116,10938,9479,5237,2570,2828,3798
Phangnga,6180,5145,11185,11630,14682,12241,16779,12471,3608,1893,3029,2477
Phuket,13627,12639,12750,11891,10329,8835,10331,6080,6340,4864,8499,9871
Ranong,4027,3425,5605,5568,6578,5351,6971,5154,2696,1301,3225,3158
Trang,12596,8805,11604,11909,13136,11701,10410,7698,6420,3900,5270,5001
Narathiwat,11969,12377,24110,24018,18582,16290,19243,16291,6031,2487,5040,5812
Pattani,9303,9251,12253,12087,13427,15752,18253,15222,5291,3555,4500,732
Satun,5299,4579,9822,12967,11827,15275,21798,16924,3753,3242,3644,25
Songkhla,21171,19105,17072,19570,19489,16250,22470,17543,16530,11612,18294,12
Yala,6333,4181,18991,19334,19986,17864,21406,19389,6486,4231,4088,6978
Bungkan,8643,8518,7383,5991,7437,6884,6920,6528,3921,2145,3218,5494
Loei,13261,12994,16462,16649,17921,17468,21927,19570,10933,7120,9822,10606
Nong Bua Lam Phu,6160,5920,4697,3767,4907,4897,5604,4469,3423,1842,2630,2613
Nong Khai,10559,7268,14291,11631,11235,9161,12526,10213,6517,5009,5424,7600
Udon Thani,25790,27879,29245,27509,33868,27613,33923,35317,8078,4018,2606,8646
Mukdahan,6475,6619,27118,28605,32039,25673,27811,27495,7399,6567,6910,6438
Nakhon Phanom,12300,12685,22729,25891,30124,25933,30697,28533,7616,5395,4280,5742
Sakon Nakhon,17747,16213,8526,5425,4776,4822,4217,2609,6590,4144,5118,4786
Kalasin,13098,13558,14657,13219,13999,11638,13519,12829,5861,6461,5680,7306
Khon Kaen,29984,32411,11239,11047,11638,8750,10988,9954,28148,19894,21737,21873
Maha Sarakham,24755,27586,7683,7345,6083,4960,5513,5197,23134,15123,15598,14280
Roi Et,25834,21185,11087,8968,7651,6063,7130,7692,24531,17077,15908,12687
Amnat Charoen,10605,11186,14656,13759,12997,8767,10886,9694,8259,7489,6946,4906
Si Sa Ket,35947,23556,27422,16805,10519,8054,10651,10105,25422,17822,18274,19953
Ubon Ratchathani,42483,33800,35909,36071,43520,33153,37859,37960,38977,24754,31625,8
Yasothon,15330,13672,22271,21737,24949,19488,22257,22430,8588,7353,7756,7573
Buri Ram,46090,44576,36301,35708,39301,31586,39521,36061,30223,19671,21351,27818
Chaiyaphum,24379,23770,23536,18266,20304,17101,17492,18741,15824,9539,10856,15346
Nakhon Ratchasima,40603,39392,10085,10376,12950,8469,9470,7836,24813,18572,22494,27958
Surin,28939,27221,5585,7401,9014,7975,9258,9296,12147,10167,15338,14136
Chiang Mai,49140,41589,18833,25244,30978,26973,29392,30565,24132,13973,21741,28316
Lampang,16545,16309,34183,40249,53142,43546,45298,46069,9679,5888,6086,8002
Lamphun,7661,4942,12681,12646,14431,12126,11653,10588,2862,1551,2142,1228
Mae Hong Son,10829,8844,10394,8925,9283,7018,6381,6546,4962,3208,3294,2167
Chiang Rai,38411,33370,6854,7816,7468,6497,6553,6862,25016,19663,23815,31238
Nan,8230,7936,19430,18507,22275,20893,21540,21792,4467,2752,3651,4245
Phayao,12080,13401,5185,5524,5533,4769,3896,4291,8652,5775,5415,2867
Phrae,7256,7827,10095,12395,14117,11735,11147,10425,5794,4116,5244,4676
Phetchabun,15818,14375,4028,3785,3256,2892,2421,2488,10791,7684,8644,10047
Phitsanulok,13865,14799,16220,17670,16074,15200,16216,15454,11933,8072,9381,8406
Sukhothai,7118,7514,10284,10262,10414,9903,10739,8367,5017,3841,4177,4823
Tak,20666,16746,7458,7642,7111,7634,8170,7104,9575,6454,8157,7842
Uttaradit,7564,7235,11430,9389,10234,9357,8783,8212,4660,3129,3334,3476
Kamphaeng Phet,12106,14403,5454,4980,5116,3659,3050,3236,9970,6457,7709,6295
